latitude	longitude	title	date	topic
25.77427	-80.19366	Fêting Leo DiCaprio’s climate change doc in Miami	2016-10-06	Hurricane Matthew & Standing Water
25.77427	-80.19366	With $1.1 billion in new funding, U.S. health officials outline plan for fighting Zika	2016-10-03	Money & Vaccine Trial
25.77427	-80.19366	Congress approves $1.1 billion in Zika funding	2016-09-28	Planned Parenthood & Senate Republicans
25.77427	-80.19366	Bats, of course. A Miami Beach official's proposal to combat Zika-carrying mosquitoes	2016-10-18	Bat Houses & Rosen Gonzalez
25.77427	-80.19366	Zika mosquito sites in Miami Beach identified	2016-09-27	Trap Locations & Gimenez
25.77427	-80.19366	Pregnant women urged to cancel Florida trips after two UK tourists catch Zika virus	2016-10-25	British & Britons
25.77427	-80.19366	Mystery Zika case in Utah was likely spread through sweat or tears	2016-09-28	Patient & Father
25.77427	-80.19366	Zika travel advisory issued for 11 Southeast Asia countries	2016-09-29	Southeast Asia & Thailand
25.77427	-80.19366	New CDC guidance on Zika and sex	2016-09-30	Men & Possible Zika
25.77427	-80.19366	CDC dismisses whistleblower claims on Zika test	2016-09-27	Lanciotti & Lab
25.77427	-80.19366	CDC Updates Guidance Related to Local Zika Transmission in Miami-Dade County, Florida	2016-10-19	Miami-dade County, Florida & Travel Related Cases
25.77427	-80.19366	Health Issues After Hurricane Matthew Could Include Increased Zika	2016-10-09	Hurricane Matthew & Standing Water
25.77427	-80.19366	Florida IDs new Miami neighborhood as Zika zone	2016-10-13	Scott & New Areas
25.77427	-80.19366	Pregnant woman is infected with Zika, but doctors say her baby is developing fine	2016-10-24	Curry Flores & Jackson Memorial Hospital
25.77427	-80.19366	USAID Funds Zika-Fighting Drone Projects	2016-10-12	Paho & Cuba
25.77427	-80.19366	New Zika zone identified in Miami’s Little River area	2016-10-13	Miami-dade County, Florida & Travel Related Cases
25.77427	-80.19366	Mosquitos to be infected with bacteria in fight against Zika virus	2016-10-26	Wolbachia Bacteria & Oxitec
25.77427	-80.19366	New Pool Of Miami Beach Mosquitoes Test Positive For Zika	2016-10-01	Sample Small Area & Tested Positive Zika
25.77427	-80.19366	Zika virus has many Americans rethinking fall travel to Florida	2016-09-27	Tourism & Travel Insurance
25.77427	-80.19366	Florida declares new area of Zika transmission in Miami	2016-10-13	Governor & Virus Occurring New
25.77427	-80.19366	New Miami neighborhood designated Zika zone	2016-10-13	Scott & New Areas
25.77427	-80.19366	Gov. Scott relieved to get Zika funds,  but slams federal response	2016-09-29	Scott & Wynwood
25.77427	-80.19366	6 new travel related Zika cases in Florida	2016-09-26	Miami-dade County, Florida & Travel Related Cases
25.79065	-80.13005	Bats, of course. A Miami Beach official's proposal to combat Zika-carrying mosquitoes	2016-10-18	Bat Houses & Rosen Gonzalez
25.79065	-80.13005	Zika mosquito sites in Miami Beach identified	2016-09-27	Trap Locations & Gimenez
25.79065	-80.13005	Mystery Zika case in Utah was likely spread through sweat or tears	2016-09-28	Patient & Father
25.79065	-80.13005	New CDC guidance on Zika and sex	2016-09-30	Men & Possible Zika
25.79065	-80.13005	CDC Updates Guidance Related to Local Zika Transmission in Miami-Dade County, Florida	2016-10-19	Miami-dade County, Florida & Travel Related Cases
25.79065	-80.13005	Florida IDs new Miami neighborhood as Zika zone	2016-10-13	Scott & New Areas
25.79065	-80.13005	New Zika zone identified in Miami’s Little River area	2016-10-13	Miami-dade County, Florida & Travel Related Cases
25.79065	-80.13005	New Pool Of Miami Beach Mosquitoes Test Positive For Zika	2016-10-01	Sample Small Area & Tested Positive Zika
25.79065	-80.13005	Zika virus has many Americans rethinking fall travel to Florida	2016-09-27	Tourism & Travel Insurance
25.79065	-80.13005	New Miami neighborhood designated Zika zone	2016-10-13	Scott & New Areas
25.79065	-80.13005	Gov. Scott relieved to get Zika funds,  but slams federal response	2016-09-29	Scott & Wynwood
25.79065	-80.13005	6 new travel related Zika cases in Florida	2016-09-26	Miami-dade County, Florida & Travel Related Cases
38.90719	-77.03687	Zika Update: People Infected with Zika VIrus Might be Immune to Reinfection	2016-10-13	Higgs & Kansas State University
38.90719	-77.03687	Zika travel advisory issued for 11 Southeast Asia countries	2016-09-29	Southeast Asia & Thailand
